filename,label,annotator_a,annotator_b,length_a,length_b,diff,abs_diff,pct_diff,smape,dice,iou
inv_28_07_02.rsml,root_01,LP,ac,1.6621432,1.2267184,0.43542480000000006,0.43542480000000006,35.495089989683045,30.14507860120402,0.819047619047619,0.6935483870967742
inv_28_07_02.rsml,root_02,LP,ac,0.7324491399999999,0.6784617,0.05398744,0.05398744,7.957330531701348,7.652849275720357,0.8333333333333334,0.7142857142857143
inv_28_07_02.rsml,root_05,LP,ac,1.7467262,1.6020185,0.14470769999999988,0.14470769999999988,9.032835763132566,8.642504159842336,0.7768595041322314,0.6351351351351351
inv_28_07_02.rsml,root_01,LP,ym,1.6621432,1.8295784000000002,-0.16743520000000012,0.16743520000000012,-9.151572843229898,9.590409498855815,0.832,0.7123287671232876
inv_28_07_02.rsml,root_02,LP,ym,0.7324491399999999,1.09842405,-0.36597491000000004,0.36597491000000004,-33.31818071536217,39.978182213701004,0.6376811594202898,0.46808510638297873
inv_28_07_02.rsml,root_03,LP,ym,0.36561124,0.11554463,0.25006661,0.25006661,216.42425961293054,103.94411690332284,0.27586206896551724,0.16
inv_28_07_02.rsml,root_04,LP,ym,0.41115270000000004,0.36893960000000003,0.0422131,0.0422131,11.441737346709328,10.822591121589074,0.0,0.0
inv_28_07_02.rsml,root_05,LP,ym,1.7467262,1.7093165,0.03740969999999999,0.03740969999999999,2.18857654506933,2.164886446570813,0.8,0.6666666666666666
inv_28_07_02.rsml,root_01,ac,ym,1.2267184,1.8295784000000002,-0.6028600000000002,0.6028600000000002,-32.950760677979154,39.45035704647534,0.7636363636363637,0.6176470588235294
inv_28_07_02.rsml,root_02,ac,ym,0.6784617,1.09842405,-0.41996235000000004,0.41996235000000004,-38.23317142409619,47.26948257646842,0.7164179104477612,0.5581395348837209
inv_28_07_02.rsml,root_05,ac,ym,1.6020185,1.7093165,-0.1072979999999999,0.1072979999999999,-6.277245905015245,6.48064904336166,0.859504132231405,0.7536231884057971
inv_28_07_03.rsml,root_01,LP,ac,5.501449000000001,5.4889417,0.01250730000000111,0.01250730000000111,0.2278635970937915,0.22760428344009842,0.8188585607940446,0.6932773109243697
inv_28_07_03.rsml,root_02,LP,ac,4.9050698,4.5099990000000005,0.39507079999999917,0.39507079999999917,8.759886642990367,8.392308296249501,0.8537313432835821,0.7447916666666666
inv_28_07_03.rsml,root_03,LP,ac,1.8692671,1.74227,0.12699710000000008,0.12699710000000008,7.289174467792024,7.032855899500524,0.8148148148148148,0.6875
inv_28_07_03.rsml,root_04,LP,ac,2.4762642,2.6289403,-0.15267609999999987,0.15267609999999987,-5.807514913898952,5.981194289082832,0.7657142857142857,0.6203703703703703
inv_28_07_03.rsml,root_05,LP,ac,3.5609868000000002,3.273776,0.28721080000000043,0.28721080000000043,8.773074272644202,8.404411635177754,0.7935222672064778,0.6577181208053692
inv_28_07_03.rsml,root_01,LP,ym,5.501449000000001,6.860659999999999,-1.3592109999999984,1.3592109999999984,-19.811665349980885,21.989953332396574,0.7947019867549668,0.6593406593406593
inv_28_07_03.rsml,root_02,LP,ym,4.9050698,4.987163499999999,-0.08209369999999971,0.08209369999999971,-1.6461000326137236,1.6597606932703401,0.8248587570621468,0.7019230769230769
inv_28_07_03.rsml,root_03,LP,ym,1.8692671,1.9206448,-0.05137769999999997,0.05137769999999997,-2.675023512936904,2.7112872993169037,0.7142857142857143,0.5555555555555556
inv_28_07_03.rsml,root_04,LP,ym,2.4762642,2.734933,-0.2586687999999997,0.2586687999999997,-9.457957470987395,9.927423203251633,0.8222222222222222,0.6981132075471698
inv_28_07_03.rsml,root_05,LP,ym,3.5609868000000002,4.2802736,-0.7192867999999999,0.7192867999999999,-16.80469211127064,18.346203628182018,0.8661971830985915,0.7639751552795031
inv_28_07_03.rsml,root_01,ac,ym,5.4889417,6.860659999999999,-1.3717182999999995,1.3717182999999995,-19.993969967903958,22.214777987536223,0.7511111111111111,0.6014234875444839
inv_28_07_03.rsml,root_02,ac,ym,4.5099990000000005,4.987163499999999,-0.4771644999999989,0.4771644999999989,-9.567853550419972,10.048569770181333,0.7420289855072464,0.5898617511520737
inv_28_07_03.rsml,root_03,ac,ym,1.74227,1.9206448,-0.17837480000000006,0.17837480000000006,-9.287235203510825,9.739500356382848,0.7111111111111111,0.5517241379310345
inv_28_07_03.rsml,root_04,ac,ym,2.6289403,2.734933,-0.10599269999999983,0.10599269999999983,-3.875513586621677,3.952095587343565,0.8186528497409327,0.6929824561403509
inv_28_07_03.rsml,root_05,ac,ym,3.273776,4.2802736,-1.0064976000000003,1.0064976000000003,-23.514795876600044,26.64789492512732,0.7360594795539034,0.5823529411764706
inv_28_07_04.rsml,root_01,LP,ac,12.923038,12.006139000000001,0.916898999999999,0.916898999999999,7.636918079992236,7.356031047475005,0.7389830508474576,0.5860215053763441
inv_28_07_04.rsml,root_02,LP,ac,10.170622,9.4581556,0.7124664000000003,0.7124664000000003,7.5328259560458095,7.25940671924471,0.7906295754026355,0.6537530266343826
inv_28_07_04.rsml,root_03,LP,ac,7.607043,6.808522,0.798521,0.798521,11.728257615970104,11.078594560809792,0.7485148514851485,0.5981012658227848
inv_28_07_04.rsml,root_04,LP,ac,6.6363746,6.846652,-0.21027739999999984,0.21027739999999984,-3.071244164301031,3.119142403827934,0.8257261410788381,0.7031802120141343
inv_28_07_04.rsml,root_05,LP,ac,7.959330700000001,7.705807,0.2535237000000006,0.2535237000000006,3.2900343857561003,3.2367886558699137,0.8561020036429873,0.7484076433121019
